"Item_Identifier","Outlet_Identifier","Prediction (Item_Outlet_Sales)"
"FDP26","OUT045",1551
"NCB54","OUT027",3477
"FDF32","OUT017",3287
"FDN31","OUT018",2817
"DRM48","OUT017",699
"FDN20","OUT049",2815
"DRL01","OUT046",3755
"FDV56","OUT049",1899
"DRH13","OUT027",3141
"FDA03","OUT017",2455
"FDF47","OUT027",4965
"FDX32","OUT046",2411
"FDX57","OUT049",1667
"NCA30","OUT045",2863
"FDO49","OUT013",968
"FDL04","OUT019",-288
"DRM48","OUT035",775
"FDR16","OUT013",3416
"NCC19","OUT018",2789
"NCE42","OUT045",3659
"FDY24","OUT017",1051
"FDH19","OUT049",2887
"FDJ46","OUT013",2816
"FDN45","OUT010",1557
"FDY08","OUT035",2455
"FDZ37","OUT035",1687
"NCT30","OUT045",663
"DRY23","OUT018",485
"NCZ30","OUT018",1717
"FDC44","OUT018",1585
"FDB45","OUT035",1935
"FDY04","OUT013",2676
"FDM27","OUT046",2507
"FDZ43","OUT017",4023
"FDT39","OUT019",592
"NCC06","OUT019",88
"FDL15","OUT027",3877
"FDL57","OUT017",4223
"FDU08","OUT046",1667
"FDK40","OUT017",4299
"FDQ12","OUT010",1721
"FDS48","OUT017",2563
"FDP09","OUT045",3303
"FDW21","OUT049",1735
"FDY25","OUT035",3103
"DRE13","OUT017",1515
"FDV43","OUT019",-1168
"FDD22","OUT045",1711
"FDM46","OUT019",-512
"NCO30","OUT010",1001
"FDM25","OUT046",2851
"NCN41","OUT049",2039
"FDU24","OUT045",1463
"FDZ50","OUT046",2923
"FDP45","OUT013",4080
"NCM54","OUT045",1931
"FDW10","OUT019",864
"FDP20","OUT017",2219
"FDK32","OUT046",2507
"FDN52","OUT049",1475
"FDM58","OUT045",1791
"FDZ46","OUT027",3181
"NCA18","OUT018",1625
"FDD35","OUT046",2027
"NCK31","OUT035",1015
"FDI40","OUT027",3013
"FDT50","OUT019",-368
"NCT06","OUT046",2611
"FDT31","OUT035",3239
"FDT45","OUT049",947
"FDT13","OUT045",2959
"FDO50","OUT045",1427
"NCU18","OUT010",281
"NCR54","OUT049",3111
"NCO18","OUT018",2601
"FDU09","OUT045",907
"FDT13","OUT018",2805
"FDE09","OUT046",1883
"NCK53","OUT019",-256
"FDG45","OUT049",3527
"DRH15","OUT035",887
"FDO21","OUT019",1720
"FDD14","OUT027",4261
"FDC09","OUT046",1771
"FDH45","OUT027",2197
"FDV32","OUT046",1115
"FDG12","OUT035",2183
"FDS32","OUT013",2388
"NCL55","OUT018",3729
"DRE01","OUT035",3967
"DRE15","OUT049",1311
"NCL42","OUT045",3819
"FDP31","OUT013",1128
"FDN33","OUT018",1293
"FDZ59","OUT046",2667
"FDE45","OUT010",957
"FDJ07","OUT013",1996
"FDQ45","OUT018",2777
"FDM33","OUT027",4853
"FDO15","OUT010",-607
"FDM46","OUT013",1496
"FDR03","OUT045",3283
"FDY49","OUT018",2509
"FDQ60","OUT045",1875
"FDW10","OUT049",2891
"FDO51","OUT049",887
"FDJ40","OUT018",1553
"FDS20","OUT018",2725
"FDU45","OUT013",1908
"FDV02","OUT035",2839
"FDN09","OUT046",3851
"NCM55","OUT027",4349
"FDN23","OUT018",2129
"FDY31","OUT010",441
"FDW03","OUT010",-131
"FDD14","OUT046",2891
"FDV23","OUT017",2119
"DRI03","OUT045",2723
"FDN13","OUT035",1775
"FDF45","OUT027",2501
"FDU46","OUT035",1671
"FDB57","OUT049",3687
"FDV12","OUT049",1755
"FDQ58","OUT013",2488
"NCA18","OUT017",1955
"FDH52","OUT049",1135
"FDM24","OUT018",2217
"NCP43","OUT027",4285
"NCO18","OUT019",896
"FDM32","OUT017",1627
"NCL07","OUT017",771
"FDK03","OUT013",4052
"FDP59","OUT017",1811
"FDQ24","OUT049",4075
"FDQ16","OUT018",1525
"FDU44","OUT013",2696
"FDH28","OUT010",-1307
"FDV28","OUT019",-1376
"FDM22","OUT045",879
"FDR56","OUT046",3187
"FDV39","OUT049",3235
"FDU37","OUT019",-576
"FDQ11","OUT010",2213
"FDX02","OUT045",3443
"NCS42","OUT018",1245
"FDY57","OUT027",2941
"FDB21","OUT049",3891
"FDE28","OUT017",3747
"FDQ55","OUT017",2051
"FDA48","OUT049",3575
"FDZ19","OUT045",2739
"NCC43","OUT045",3883
"NCV18","OUT046",1291
"NCA42","OUT018",2301
"FDY45","OUT046",4075
"NCC30","OUT045",2763
"FDM57","OUT013",1468
"FDL09","OUT010",685
"FDB09","OUT027",3445
"FDT44","OUT035",2111
"NCT06","OUT027",3997
"FDX26","OUT049",2923
"FDK32","OUT013",2452
"DRA12","OUT046",2291
"FDO46","OUT010",1125
"FDE52","OUT013",1480
"NCH42","OUT045",3567
"FDV08","OUT035",967
"FDB47","OUT018",3109
"FDC28","OUT010",-171
"FDD22","OUT046",1819
"FDS07","OUT027",3277
"DRI13","OUT045",3379
"FDG32","OUT018",3285
"FDU14","OUT017",4051
"FDD28","OUT019",-952
"NCP41","OUT017",1907
"FDS08","OUT049",2899
"FDX47","OUT045",2511
"FDC53","OUT019",-264
"FDQ19","OUT035",4119
"FDL14","OUT045",2495
"FDM33","OUT019",1528
"FDA51","OUT045",1711
"FDZ27","OUT018",585
"FDT04","OUT046",635
"DRC13","OUT049",2111
"FDR16","OUT027",4805
"FDQ03","OUT027",5189
"FDE38","OUT035",2895
"DRH23","OUT027",2293
"FDT11","OUT019",1144
"FDD09","OUT035",3111
"FDR40","OUT045",1327
"FDX07","OUT017",3139
"FDR07","OUT035",1783
"FDA51","OUT017",1911
"FDT59","OUT019",1776
"FDF20","OUT017",3279
"FDR13","OUT045",1867
"FDY26","OUT049",3415
"FDW04","OUT017",2227
"FDK52","OUT017",3679
"FDN60","OUT049",2563
"FDM09","OUT019",816
"FDP46","OUT049",1479
"FDB50","OUT019",-688
"NCQ29","OUT049",4135
"FDP16","OUT027",5277
"FDX33","OUT018",2353
"FDP07","OUT010",1221
"FDN22","OUT046",3979
"FDF39","OUT049",4239
"FDS21","OUT017",1179
"NCM42","OUT013",1736
"FDK50","OUT019",744
"DRF13","OUT027",3749
"FDH35","OUT018",2425
"FDP60","OUT018",1393
"DRJ49","OUT027",3493
"NCT42","OUT019",456
"FDE38","OUT049",2771
"FDI04","OUT049",3231
"NCH54","OUT045",2415
"FDT56","OUT049",1099
"DRD15","OUT018",3417
"FDV58","OUT013",3152
"FDP21","OUT049",3099
"FDH05","OUT013",3740
"FDR10","OUT027",3997
"NCP06","OUT045",2299
"FDF33","OUT049",2011
"DRK37","OUT013",3064
"DRH49","OUT045",1319
"FDT58","OUT013",2708
"FDD41","OUT018",1469
"FDP40","OUT018",1589
"FDM51","OUT027",3117
"FDO45","OUT010",-479
"FDW33","OUT010",-259
"FDY24","OUT045",927
"FDB10","OUT010",1809
"FDM40","OUT035",2375
"NCI06","OUT017",2975
"FDW12","OUT019",456
"FDX48","OUT027",3933
"NCW05","OUT027",3077
"FDX27","OUT017",1635
"DRM37","OUT045",3051
"FDA38","OUT045",3715
"FDR36","OUT046",715
"FDZ45","OUT046",3163
"FDG05","OUT017",2651
"FDK28","OUT013",4116
"FDV47","OUT045",1335
"FDN21","OUT045",2479
"FDP20","OUT027",3557
"FDI35","OUT045",2875
"DRY23","OUT013",660
"FDA56","OUT017",2167
"FDB09","OUT013",2068
"NCO26","OUT027",3245
"FDQ49","OUT018",2357
"FDI52","OUT027",3325
"FDZ44","OUT027",3349
"FDZ09","OUT018",2365
"FDY03","OUT049",1931
"NCG42","OUT017",2143
"DRI13","OUT027",4861
"FDQ32","OUT013",2156
"FDW16","OUT035",1687
"FDU27","OUT046",795
"FDR28","OUT010",701
"FDQ49","OUT010",669
"FDS37","OUT046",1923
"FDW26","OUT018",3249
"FDX12","OUT018",3657
"NCP06","OUT013",2432
"FDW45","OUT010",389
"NCN30","OUT049",1583
"FDN24","OUT049",935
"NCL41","OUT027",1981
"FDR02","OUT019",-144
"FDD09","OUT010",1013
"FDS33","OUT010",-443
"FDU22","OUT045",1835
"FDI53","OUT013",2624
"DRH01","OUT049",2823
"FDX32","OUT013",2400
"NCP30","OUT018",433
"FDB60","OUT045",3079
"FDB14","OUT049",1615
"NCP02","OUT035",1127
"FDJ10","OUT017",2371
"FDG34","OUT046",1859
"NCB18","OUT017",1519
"FDM16","OUT049",1319
"FDW25","OUT018",1185
"FDB35","OUT010",-383
"DRN11","OUT013",2296
"FDF41","OUT019",1920
"FDH16","OUT045",1355
"NCQ50","OUT018",3121
"DRH23","OUT018",673
"DRJ37","OUT013",2460
"DRJ24","OUT027",4293
"FDY16","OUT035",3103
"FDQ27","OUT045",1703
"FDZ33","OUT045",2283
"FDF29","OUT045",2083
"FDA08","OUT049",2755
"FDG31","OUT046",1131
"FDE34","OUT019",1112
"NCR30","OUT027",2573
"FDV33","OUT035",4327
"DRZ24","OUT018",1729
"NCL54","OUT035",2903
"FDR12","OUT049",2887
"NCC54","OUT046",3819
"DRN59","OUT013",864
"FDX50","OUT019",-184
"FDV31","OUT027",4261
"NCA29","OUT027",4133
"FDW60","OUT049",2959
"FDX08","OUT017",3087
"DRD49","OUT013",3720
"FDD33","OUT046",3691
"FDW35","OUT013",800
"FDJ36","OUT017",1799
"FDV51","OUT035",2863
"FDW36","OUT046",1739
"FDH35","OUT046",2683
"NCS30","OUT027",3453
"FDN49","OUT017",811
"FDL08","OUT018",3717
"FDI09","OUT013",4052
"FDP19","OUT018",1833
"FDU21","OUT010",-1347
"NCP41","OUT045",1691
"FDY10","OUT013",1860
"FDP12","OUT018",457
"NCN26","OUT049",1915
"FDK44","OUT013",2804
"FDC28","OUT049",1811
"FDJ41","OUT027",5565
"NCT29","OUT035",2167
"NCH42","OUT019",1696
"FDU60","OUT018",2485
"FDS02","OUT045",2963
"FDC51","OUT046",2019
"FDU03","OUT013",2992
"FDX39","OUT045",3355
"NCY05","OUT010",-1307
"NCL06","OUT027",5469
"FDD32","OUT035",1607
"NCN41","OUT045",1907
"NCX53","OUT049",2347
"FDU57","OUT019",488
"FDQ23","OUT046",1715
"FDQ52","OUT045",3819
"FDC14","OUT045",691
"FDY09","OUT035",3015
"FDQ28","OUT045",2455
"FDV25","OUT046",3515
"FDJ07","OUT035",2103
"DRB25","OUT049",1755
"FDK52","OUT019",1616
"FDY52","OUT027",2453
"FDB28","OUT046",3099
"FDT36","OUT035",791
"FDV25","OUT017",3679
"NCN07","OUT027",3485
"FDC57","OUT017",3275
"FDQ03","OUT018",3569
"FDU23","OUT017",2807
"NCX41","OUT035",3575
"NCD06","OUT035",919
"FDW08","OUT045",1623
"NCU29","OUT017",2431
"NCE06","OUT013",2572
"FDV52","OUT010",-83
"FDB02","OUT017",3011
"NCR18","OUT045",651
"FDK16","OUT049",1611
"NCQ29","OUT010",2109
"FDZ01","OUT019",-128
"FDW27","OUT035",2703
"FDD17","OUT018",3541
"FDW39","OUT013",2932
"DRH59","OUT045",1135
"FDS52","OUT013",1704
"FDU40","OUT027",4493
"NCF54","OUT013",2788
"FDH46","OUT045",1647
"NCP14","OUT049",1683
"FDH50","OUT049",3107
"DRF15","OUT010",493
"FDV27","OUT027",2893
"NCJ06","OUT049",1971
"FDN02","OUT018",3049
"FDQ51","OUT049",919
"FDQ07","OUT017",3719
"FDS45","OUT049",1695
"NCJ06","OUT045",1859
"FDD36","OUT035",2103
"FDY25","OUT045",2875
"FDU52","OUT046",2459
"DRK47","OUT017",3695
"NCL30","OUT017",2147
"FDN22","OUT035",4159
"NCF30","OUT027",3357
"FDK03","OUT035",4231
"FDT45","OUT017",1035
"NCC54","OUT027",5173
"FDP08","OUT018",2929
"FDU44","OUT046",2699
"DRG39","OUT035",1039
"FDU32","OUT049",2091
"FDY27","OUT049",2907
"NCP54","OUT013",2008
"NCZ41","OUT049",2087
"DRL49","OUT013",2328
"FDI05","OUT018",1013
"FDY56","OUT045",3607
"DRC13","OUT013",2100
"NCV29","OUT017",2999
"FDR24","OUT049",1559
"FDZ34","OUT018",2853
"FDP37","OUT035",2207
"FDX08","OUT027",4341
"FDS57","OUT045",2171
"NCG18","OUT049",1707
"FDK25","OUT018",2489
"FDH53","OUT049",1419
"DRI59","OUT018",3333
"FDA52","OUT046",2811
"FDT20","OUT010",-1227
"FDE36","OUT019",752
"FDI24","OUT017",2871
"FDB28","OUT018",2885
"FDV11","OUT017",2971
"FDP01","OUT046",2539
"FDD34","OUT027",3997
"FDJ50","OUT027",2317
"FDZ44","OUT013",1984
"DRO59","OUT035",1431
"DRB48","OUT045",523
"FDR21","OUT018",2553
"NCE42","OUT010",1785
"FDO23","OUT046",1475
"NCE30","OUT018",3093
"FDQ22","OUT035",807
"FDY01","OUT045",1799
"FDS08","OUT017",2999
"FDG28","OUT018",3705
"FDQ51","OUT018",665
"FDB05","OUT017",4007
"FDO56","OUT049",2031
"FDE02","OUT018",1325
"FDN45","OUT017",3619
"FDS09","OUT013",776
"NCA54","OUT018",2637
"FDP09","OUT010",1445
"FDC53","OUT045",1551
"NCM55","OUT017",3067
"FDL09","OUT018",2465
"FDA11","OUT019",-376
"FDA50","OUT045",1411
"FDC23","OUT017",3027
"FDE22","OUT049",2611
"FDD23","OUT046",3067
"NCA29","OUT049",2799
"FDK38","OUT046",2395
"DRC13","OUT046",2011
"NCP43","OUT049",2911
"FDX28","OUT049",1623
"FDF08","OUT049",1603
"FDZ33","OUT046",2371
"FDD10","OUT049",2823
"FDO58","OUT017",2715
"FDI50","OUT017",3851
"FDO58","OUT045",2583
"FDX08","OUT013",2992
"NCK17","OUT010",-1227
"FDF39","OUT035",4351
"FDU45","OUT010",-79
"NCJ18","OUT018",1577
"DRC27","OUT019",1952
"DRC25","OUT035",1567
"FDU59","OUT035",2735
"FDU28","OUT035",3247
"NCP30","OUT046",683
"FDB39","OUT018",669
"FDE41","OUT013",1476
"DRH11","OUT010",-1007
"FDA58","OUT045",3651
"FDU50","OUT046",1867
"FDM34","OUT013",2116
"FDM44","OUT027",3077
"FDR39","OUT045",2859
"FDM25","OUT045",2807
"FDQ49","OUT049",2647
"DRH25","OUT018",653
"FDM09","OUT027",4149
"FDL44","OUT019",744
"NCR42","OUT018",321
"DRL59","OUT046",907
"FDX43","OUT013",2768
"DRK47","OUT010",1657
"FDU48","OUT018",1897
"FDY12","OUT045",787
"NCN43","OUT018",1757
"NCM55","OUT018",2681
"FDQ21","OUT027",3405
"FDX13","OUT035",4191
"NCK30","OUT027",5341
"FDG20","OUT049",2903
"DRG27","OUT017",747
"FDY14","OUT018",3913
"FDP59","OUT035",1879
"FDU60","OUT017",2895
"NCC18","OUT019",688
"DRJ39","OUT017",3551
"FDS07","OUT049",1883
"FDM08","OUT027",5013
"FDP51","OUT045",1915
"FDU16","OUT035",1535
"FDH12","OUT013",1772
"DRE48","OUT010",1193
"NCL42","OUT027",5245
"FDR21","OUT045",2751
"NCW29","OUT035",2311
"FDO11","OUT013",4076
"NCM31","OUT049",2299
"FDV35","OUT019",512
"FDF58","OUT017",1163
"NCE43","OUT049",2703
"FDA02","OUT035",2503
"DRL37","OUT010",-1203
"FDR24","OUT018",1305
"FDW59","OUT049",1435
"FDS22","OUT049",875
"FDW24","OUT017",983
"FDU24","OUT035",1735
"FDA21","OUT027",4373
"FDH58","OUT027",3293
"FDW36","OUT018",1465
"FDI45","OUT027",4213
"FDU01","OUT018",2821
"FDF35","OUT027",3149
"FDU43","OUT019",1928
"FDE24","OUT019",368
"FDK50","OUT049",2707
"FDG31","OUT045",1007
"FDC60","OUT045",1431
"FDL36","OUT013",1520
"FDP21","OUT013",3124
"FDW16","OUT045",1431
"FDX02","OUT017",3647
"FDQ58","OUT027",3885
"FDT51","OUT046",1883
"FDD59","OUT049",1431
"NCM42","OUT018",1521
"FDA57","OUT018",465
"FDZ48","OUT035",2031
"FDE46","OUT045",2387
"NCZ30","OUT019",32
"FDB56","OUT017",3195
"FDA25","OUT027",3149
"FDD20","OUT013",2136
"FDL25","OUT013",1592
"NCO18","OUT049",2871
"FDJ45","OUT017",915
"FDR12","OUT035",2967
"NCF19","OUT010",-1159
"FDK25","OUT046",2683
"NCR17","OUT046",1867
"FDC52","OUT046",2467
"NCA54","OUT017",2983
"FDR45","OUT010",1873
"NCM19","OUT049",1883
"FDF39","OUT027",5589
"FDX23","OUT049",1659
"FDD58","OUT027",3005
"FDX28","OUT013",1684
"NCD31","OUT013",2632
"FDU57","OUT018",2205
"FDI27","OUT046",795
"NCM42","OUT046",1739
"FDD32","OUT027",2821
"FDI34","OUT013",3700
"NCM29","OUT049",2139
"FDG46","OUT018",1649
"DRC01","OUT010",-1051
"FDB15","OUT027",5485
"NCA17","OUT027",3805
"FDF10","OUT046",2363
"FDR26","OUT027",4213
"FDI02","OUT049",1907
"NCM54","OUT010",81
"FDF14","OUT013",2508
"FDJ33","OUT010",21
"FDM20","OUT035",4127
"FDC03","OUT027",4509
"NCX05","OUT046",1867
"NCM41","OUT027",2901
"NCU29","OUT010",453
"FDQ59","OUT017",1523
"FDH46","OUT010",-243
"FDH09","OUT013",1108
"NCD06","OUT045",671
"FDC15","OUT035",2567
"DRD37","OUT027",2173
"FDT28","OUT027",3733
"FDR28","OUT027",4053
"FDT38","OUT017",1483
"FDV34","OUT027",2693
"FDY52","OUT035",1239
"FDB34","OUT013",1428
"DRL23","OUT018",1505
"DRB24","OUT046",2475
"FDJ50","OUT046",955
"FDQ49","OUT035",2735
"FDP20","OUT035",2231
"FDV19","OUT027",4037
"NCR54","OUT045",3003
"FDO09","OUT010",2165
"FDS57","OUT018",2037
"FDN10","OUT049",1955
"FDV23","OUT049",2059
"FDY28","OUT049",3439
"DRG51","OUT013",2628
"FDD45","OUT019",-416
"NCL18","OUT027",4381
"NCM29","OUT013",2164
"FDF17","OUT027",4509
"FDE22","OUT017",2707
"FDQ22","OUT017",771
"FDS01","OUT013",2956
"FDW35","OUT027",2117
"FDJ33","OUT046",2027
"NCF54","OUT035",2887
"FDE09","OUT013",1888
"NCE06","OUT045",2467
"DRH49","OUT049",1383
"FDY43","OUT045",2675
"NCT05","OUT017",4167
"FDZ34","OUT045",3019
"FDL38","OUT017",1507
"FDZ31","OUT017",3199
"FDR14","OUT035",1015
"NCN54","OUT049",1335
"NCC42","OUT027",3645
"FDK08","OUT017",1855
"FDP59","OUT013",1796
"FDV22","OUT035",2759
"FDD33","OUT035",3911
